payment_type,total_orders,delivered,cancelled,avg_order_value,total_revenue,avg_installments,conversion_rate,cancellation_rate
boleto,19910,19308,95,144.98641336012057,2886679.49,1.0,96.97639377197387,0.4771471622300351
credit_card,75785,73605,436,166.44626086956524,12614129.88,3.534987134657254,97.12344131424425,0.5753117371511512
debit_card,1534,1491,7,142.54962842242503,218671.13,1.0,97.1968709256845,0.45632333767926986
voucher,2759,2602,88,131.18529902138457,361940.24,1.461399057629576,94.3095324392896,3.189561435302646
